2020-05-18 20:21:54.085 INFO  [spring.application.name_IS_UNDEFINED,,,] [main] o.s.b.t.context.SpringBootTestContextBootstrapper - Neither @ContextConfiguration nor @ContextHierarchy found for test class [com.kzkt.bssas.test.TestStudent], using SpringBootContextLoader 
2020-05-18 20:21:54.096 INFO  [spring.application.name_IS_UNDEFINED,,,] [main] o.s.test.context.support.AbstractContextLoader - Could not detect default resource locations for test class [com.kzkt.bssas.test.TestStudent]: no resource found for suffixes {-context.xml, Context.groovy}. 
2020-05-18 20:21:54.306 INFO  [spring.application.name_IS_UNDEFINED,,,] [main] o.s.b.t.context.SpringBootTestContextBootstrapper - Using TestExecutionListeners: [org.springframework.test.context.web.ServletTestExecutionListener@759d26fb, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener@3c73951, org.springframework.test.context.support.DependencyInjectionTestExecutionListener@3d5c822d, org.springframework.test.context.support.DirtiesContextTestExecutionListener@6f46426d, org.springframework.test.context.event.EventPublishingTestExecutionListener@73700b80] 
2020-05-18 20:21:54.835 INFO  [spring.application.name_IS_UNDEFINED,,,] [main] com.kzkt.bssas.test.TestStudent - Starting TestStudent on zzhMac.local with PID 37469 (/Users/zhaozhihong/Desktop/bssas_edit 2/target/test-classes started by zhaozhihong in /Users/zhaozhihong/Desktop/bssas_edit 2) 
2020-05-18 20:21:54.835 DEBUG [spring.application.name_IS_UNDEFINED,,,] [main] com.kzkt.bssas.test.TestStudent - Running with Spring Boot v2.2.7.RELEASE, Spring v5.2.6.RELEASE 
2020-05-18 20:21:54.835 INFO  [spring.application.name_IS_UNDEFINED,,,] [main] com.kzkt.bssas.test.TestStudent - The following profiles are active: qa 
2020-05-18 20:21:55.411 INFO  [spring.application.name_IS_UNDEFINED,,,] [main] o.s.d.r.config.RepositoryConfigurationDelegate - Bootstrapping Spring Data JDBC repositories in DEFAULT mode. 
2020-05-18 20:21:55.433 INFO  [spring.application.name_IS_UNDEFINED,,,] [main] o.s.d.r.config.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 16ms. Found 0 JDBC repository interfaces. 
2020-05-18 20:21:55.545 WARN  [spring.application.name_IS_UNDEFINED,,,] [main] org.mybatis.spring.mapper.ClassPathMapperScanner - No MyBatis mapper was found in '[com.kzkt.bssas.Mapper]' package. Please check your configuration. 
2020-05-18 20:21:56.191 INFO  [spring.application.name_IS_UNDEFINED,,,] [main] o.s.scheduling.concurrent.ThreadPoolTaskExecutor - Initializing ExecutorService 'applicationTaskExecutor' 
2020-05-18 20:21:56.476 INFO  [spring.application.name_IS_UNDEFINED,,,] [main] c.a.d.s.b.a.DruidDataSourceAutoConfigure - Init DruidDataSource 
2020-05-18 20:21:56.657 INFO  [spring.application.name_IS_UNDEFINED,,,] [main] com.alibaba.druid.pool.DruidDataSource - {dataSource-1} inited 
2020-05-18 20:21:56.973 INFO  [spring.application.name_IS_UNDEFINED,,,] [main] com.kzkt.bssas.test.TestStudent - Started TestStudent in 2.391 seconds (JVM running for 3.807) 
2020-05-18 20:21:57.012 INFO  [spring.application.name_IS_UNDEFINED,,,] [SpringContextShutdownHook] com.alibaba.druid.pool.DruidDataSource - {dataSource-1} closing ... 
2020-05-18 20:21:57.012 INFO  [spring.application.name_IS_UNDEFINED,,,] [SpringContextShutdownHook] com.alibaba.druid.pool.DruidDataSource - {dataSource-1} closed 
2020-05-18 20:21:57.013 INFO  [spring.application.name_IS_UNDEFINED,,,] [SpringContextShutdownHook] o.s.scheduling.concurrent.ThreadPoolTaskExecutor - Shutting down ExecutorService 'applicationTaskExecutor' 
